page_title,rank,timestamp,total.total,month,timeRange.start,timeRange.end
Project:Administrators'_noticeboard/Incidents,1,2022-07-01T00:00:00.000Z,3685,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:Administrator_intervention_against_vandalism,2,2022-07-01T00:00:00.000Z,3636,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:Requests_for_page_protection/Increase,3,2022-07-01T00:00:00.000Z,2974,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:In_the_news/Candidates,4,2022-07-01T00:00:00.000Z,2725,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:Teahouse,5,2022-07-01T00:00:00.000Z,2621,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:Stephencdickson/sandbox,6,2022-07-01T00:00:00.000Z,2409,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Assassination_of_Shinzo_Abe,7,2022-07-01T00:00:00.000Z,2170,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Deaths_in_2022,8,2022-07-01T00:00:00.000Z,2127,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
2022_Conservative_Party_leadership_election_(UK),9,2022-07-01T00:00:00.000Z,1778,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:Usernames_for_administrator_attention,10,2022-07-01T00:00:00.000Z,1594,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:Administrators'_noticeboard,11,2022-07-01T00:00:00.000Z,1513,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:খাঁটি_বাঙালি/sandbox,12,2022-07-01T00:00:00.000Z,1464,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:WQUlrich/sandbox,13,2022-07-01T00:00:00.000Z,1458,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:Gasforth-2021/Чек,14,2022-07-01T00:00:00.000Z,1452,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Shinzo_Abe,15,2022-07-01T00:00:00.000Z,1432,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:Help_desk,16,2022-07-01T00:00:00.000Z,1270,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:DavidZD97/sandbox,17,2022-07-01T00:00:00.000Z,1244,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:Reliable_sources/Noticeboard,18,2022-07-01T00:00:00.000Z,1186,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:BarehamOliver/sandbox,19,2022-07-01T00:00:00.000Z,1183,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:Articles_for_creation/recent,20,2022-07-01T00:00:00.000Z,1180,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
List_of_Hindi_songs_recorded_by_Asha_Bhosle,21,2022-07-01T00:00:00.000Z,1141,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:Requested_moves/Technical_requests,22,2022-07-01T00:00:00.000Z,1135,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:Dabberoni15/sandbox,23,2022-07-01T00:00:00.000Z,1082,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
2022_monkeypox_outbreak,24,2022-07-01T00:00:00.000Z,1057,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:Requests_for_undeletion,25,2022-07-01T00:00:00.000Z,1026,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:Minorax/PROD_log/2022,26,2022-07-01T00:00:00.000Z,1014,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
2022_Pacific_hurricane_season,27,2022-07-01T00:00:00.000Z,1005,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:Hey_man_im_josh/CSD_log,28,2022-07-01T00:00:00.000Z,1003,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Template:COVID-19_cases_in_Asia,29,2022-07-01T00:00:00.000Z,993,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:Reverend_Mick_man34/sandbox,30,2022-07-01T00:00:00.000Z,993,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:Peter_I._Vardy/sandbox,31,2022-07-01T00:00:00.000Z,930,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:Village_pump_(technical),32,2022-07-01T00:00:00.000Z,862,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
